Name,Company,Number,Position,LinkedIn URL
Phil Fitzpatrick,Alpha Source Group,,Chief Financial Officer,
Adam McMullin,AvaSure,,Chief Executive Officer & Board Member,
Robert Houghton,Sage Sustainable Electronics,,Co-Founder & Chief Executive Officer,
Christian Sasfai,Stevens Aerospace and Defense Systems,,President,
Robert Vitale,Managed Labor Solutions,,Chief Executive Officer,
Christopher Thorpe,Minimizer,,President & Chief Executive Officer,
Leighton Friesen,North West Rubber,,Chief Executive Officer and President,
Jim Leitl,Avante Health Solutions,,Chief Executive Officer & President,
Keith Olinger,Rasa Floors,,Co-Chief Financial Officer,
Todd Braun,Robbins Sports Surfaces,,Chief Executive Officer & President,
Lance Crane,Crane Engineering (Industrial Products),,"Co-Owner, Chief Executive Officer & President",
John Hudgins,Lancaster (Spartanburg),,Chief Operating Officer,
Michael Ruggeri,Scott Group Studio,,Chairman,
